Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",0,4.24,Harvest Books,Paperback,311,2004,1966,,2026/03/27,to-read,to-read (#104),to-read,,,,0,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Diana Lewis Burgin, Katherine Tiernan O'Connor, Ellendea Proffer, Hans Fronius, Михаил Булгаков","=""0679760806""","=""9780679760801""",0,4.28,Vintage International,Paperback,372,1996,1967,,2026/03/27,to-read,to-read (#103),to-read,,,,0,0
41716919,"Jade War (The Green Bone Saga, #2)",Fonda Lee,"Lee, Fonda",,"=""0316440922""","=""9780316440929""",4,4.38,Orbit,Hardcover,587,2019,2019,2026/03/17,2026/03/26,,,read,,,,1,0
51057191,"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee,"Lee, Fonda",,"=""035651059X""","=""9780356510590""",5,4.62,Orbit,Paperback,713,2021,2021,2026/03/26,2026/03/17,,,read,,,,1,0
13586277,Puzzlecraft: The Ultimate Guide on How to Construct Every Kind of Puzzle,Mike Selinker,"Selinker, Mike",Thomas Snyder,"=""1402779240""","=""9781402779244""",0,4.05,Puzzlewright,Spiral-bound,192,2013,2012,,2026/03/16,to-read,to-read (#102),to-read,,,,0,0
25485883,The Puzzle Universe: The History of Math in 315 Puzzles,Ivan Moscovich,"Moscovich, Ivan",,"=""1770854754""","=""9781770854758""",0,4.13,Firefly Books Ltd. ,Hardcover,396,2015,2015,,2026/03/16,to-read,to-read (#101),to-read,,,,0,0
678521,The Lady or the Tiger? And Other Logic Puzzles,Raymond M. Smullyan,"Smullyan, Raymond M.",,"=""0812921178""","=""9780812921175""",0,3.96,Random House Puzzles & Games,Paperback,226,1992,1982,,2026/03/16,to-read,to-read (#100),to-read,,,,0,0
105329,Aha! Gotcha: Paradoxes to Puzzle & Delight (Tools for Transformation),Martin Gardner,"Gardner, Martin",Brenn Lea Pearson,"=""0716713616""","=""9780716713616""",0,4.12,W H Freeman & Co,Paperback,164,1982,1975,,2026/03/16,to-read,to-read (#99),to-read,,,,0,0
493576,What Is the Name of This Book?,Raymond M. Smullyan,"Smullyan, Raymond M.",,"=""0671628321""","=""9780671628321""",0,4.24,Touchstone,Paperback,256,1986,1978,,2026/03/16,to-read,to-read (#98),to-read,,,,0,0
33833056,The Count Of Montre Cristo,Alexandre Dumas,"Dumas, Alexandre",,"=""""","=""""",0,4.33,Alexandre Dumas,Kindle Edition,1328,2017,1844,,2026/02/24,to-read,to-read (#97),to-read,,,,0,0
83817782,Determined: A Science of Life without Free Will,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""0525560971""","=""9780525560975""",0,4.23,Penguin Press,Hardcover,528,2023,2023,,2026/02/19,to-read,to-read (#96),to-read,,,,0,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Donald Fanger","=""067973452X""","=""9780679734529""",0,4.17,Vintage Classics,Paperback,136,1994,1864,,2026/02/10,to-read,to-read (#95),to-read,,,,0,0
25986929,"Goodnight Punpun Omnibus, Vol. 1",Inio Asano,"Asano, Inio",,"=""1421586207""","=""9781421586205""",3,4.26,VIZ Media LLC,Paperback,426,2016,2006,2026/02/07,2026/01/25,,,read,,,,1,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440884""","=""9780316440882""",4,4.06,Orbit,Paperback,540,2018,2017,2026/01/25,2025/07/10,,,read,,,,1,0
83674,The Bridges of Madison County,Robert James Waller,"Waller, Robert James",,"=""0446364495""","=""9780446364492""",3,3.72,Grand Central Publishing,Mass Market Paperback,182,1995,1992,2022/11/16,2022/11/15,,,read,,,,1,0
149167500,Prim i gruixut: Argumentació moral adreçada a propis i a estranys,Michael Walzer,"Walzer, Michael","Jordi Graupera, Helena Lamuela",="="8412574788"",="="9788412574784"",3,3.25,Edicions Sidillà SL,Paperback,0,2023,1994,2024/04/30,2023/07/12,,,read,,,,1,0
14650649,Claraboya,José Saramago,"Saramago, José",,"=""6071117224""","=""9786071117229""",3,3.91,Alfaguara,Paperback,417,2012,2011,2022/09/08,2022/09/08,,,read,,,,1,0
176444106,Abundance,Ezra Klein,"Klein, Ezra",Derek   Thompson,"=""1668023482""","=""9781668023488""",3,3.92,Avid Reader Press / Simon & Schuster,Hardcover,304,2025,2025,2026/01/18,2025/05/05,,,read,,,,1,0
60715378,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,Chip Huyen,"Huyen, Chip",,"=""1098107969""","=""9781098107963""",4,4.45,O'Reilly,Paperback,368,2022,2022,2026/01/17,2026/01/18,,,read,,,,1,0
216670080,Strange Pictures,Uketsu,"Uketsu, Uketsu",Jim Rion,"=""0063433087""","=""9780063433083""",0,3.93,HarperVia,Paperback,236,2025,2022,,2026/01/13,to-read,to-read (#94),to-read,,,,0,0
